ACS,Kills,Deaths,Assists,Difference,KAST,ADR,HS,FK,FD,Diff
365,47,20,9,27,84%,213,17%,12,5,7
66,1,14,4,-13,47%,64,13%,0,4,-4
69,10,46,15,-36,56%,44,23%,1,4,-3
69,22,36,9,-14,67%,50,29%,1,5,-4
70,4,15,1,-11,42%,46,9%,0,7,-7
73,5,14,5,-9,75%,53,15%,0,1,-1
82,5,16,2,-11,40%,63,23%,0,2,-2
83,9,26,6,-17,58%,58,22%,1,3,-2
85,18,34,17,-16,69%,73,28%,1,2,-1
87,7,15,6,-8,78%,58,44%,0,2,-2
91,7,18,5,-11,65%,67,25%,1,2,-1
91,5,13,4,-8,47%,67,50%,0,2,-2
93,10,32,14,-22,58%,56,23%,2,3,-1
93,6,16,3,-10,55%,56,9%,0,3,-3
93,13,35,12,-22,52%,65,20%,2,8,-6
94,7,28,9,-21,43%,73,12%,0,4,-4
94,14,31,9,-17,60%,69,18%,2,6,-4
95,7,25,8,-18,47%,73,16%,0,1,-1
95,15,27,11,-12,70%,77,21%,1,9,-8
98,7,19,1,-12,50%,71,39%,4,2,2
99,22,25,11,-3,74%,69,15%,4,2,2
103,11,30,9,-19,50%,67,20%,0,5,-5
103,15,35,13,-20,63%,76,40%,1,2,-1
104,7,15,0,-8,50%,69,20%,3,4,-1
105,27,31,1,-4,69%,79,26%,3,3,0
105,14,33,4,-19,36%,74,13%,0,11,-11
105,10,32,12,-22,50%,72,10%,0,6,-6
106,14,34,10,-20,53%,62,24%,0,0,0
106,7,15,0,-8,73%,74,19%,0,4,-4
106,11,23,6,-12,53%,71,31%,1,6,-5
106,9,31,12,-22,53%,71,23%,0,9,-9
106,34,29,8,5,86%,80,29%,3,0,3
107,14,29,2,-15,60%,75,28%,1,6,-5
107,13,31,8,-18,49%,73,28%,0,3,-3
108,13,37,18,-24,53%,71,13%,3,5,-2
109,14,34,13,-20,60%,78,15%,2,7,-5
109,20,41,23,-21,73%,72,27%,2,6,-4
109,11,29,5,-18,45%,83,41%,0,4,-4
110,17,31,10,-14,57%,74,40%,1,5,-4
112,17,21,4,-4,69%,74,35%,2,7,-5
113,8,14,3,-6,67%,85,43%,2,3,-1
113,14,31,8,-17,56%,73,23%,0,5,-5
113,26,33,3,-7,69%,87,27%,2,5,-3
114,7,17,2,-10,47%,72,38%,0,6,-6
115,17,29,10,-12,57%,71,15%,1,3,-2
115,12,27,5,-15,38%,75,17%,2,3,-1
115,13,31,4,-18,41%,90,18%,1,4,-3
115,18,33,10,-15,63%,80,19%,0,3,-3
116,8,14,2,-6,50%,82,33%,0,1,-1
117,21,45,11,-24,64%,76,6%,4,6,-2
117,12,25,11,-13,56%,83,19%,0,2,-2
117,11,28,4,-17,45%,73,24%,1,4,-3
118,17,31,6,-14,61%,70,24%,3,6,-3
118,15,20,11,-5,66%,68,23%,4,4,0
119,15,28,9,-13,67%,80,26%,1,1,0
120,9,28,4,-19,42%,85,20%,1,5,-4
120,15,32,14,-17,59%,86,16%,2,2,0
120,20,46,11,-26,46%,82,22%,3,6,-3
122,15,34,14,-19,58%,78,12%,1,5,-4
122,14,30,4,-16,58%,80,46%,1,2,-1
123,17,35,14,-18,60%,86,22%,1,2,-1
123,14,31,4,-17,44%,91,23%,2,4,-2
123,16,32,10,-16,50%,88,15%,4,4,0
123,26,49,22,-23,60%,82,25%,2,13,-11
123,14,31,4,-17,51%,84,38%,2,12,-10
123,7,17,4,-10,45%,92,25%,1,2,-1
124,14,32,8,-18,57%,92,25%,5,4,1
124,17,33,6,-16,54%,85,56%,4,6,-2
124,19,23,11,-4,71%,90,30%,2,4,-2
125,26,43,15,-17,62%,89,25%,1,6,-5
125,27,40,11,-13,67%,71,32%,2,3,-1
126,14,31,8,-17,54%,88,23%,2,5,-3
126,15,30,15,-15,69%,100,20%,2,3,-1
126,17,31,15,-14,71%,93,21%,3,3,0
127,15,27,9,-12,76%,88,11%,3,3,0
127,27,50,12,-23,62%,84,31%,2,8,-6
127,21,31,5,-10,67%,83,31%,3,0,3
128,16,30,7,-14,60%,85,19%,1,4,-3
128,9,15,3,-6,60%,99,23%,2,5,-3
128,23,41,11,-18,60%,83,34%,4,8,-4
128,14,26,11,-12,68%,88,14%,2,2,0
128,21,32,14,-11,56%,85,25%,2,1,1
129,19,30,7,-11,51%,76,28%,1,1,0
129,17,29,17,-12,64%,89,28%,0,1,-1
129,20,36,12,-16,56%,79,17%,1,1,0
129,14,27,3,-13,52%,97,23%,3,3,0
129,15,34,4,-19,50%,81,18%,1,8,-7
129,16,30,3,-14,46%,89,28%,1,4,-3
129,8,15,9,-7,62%,90,20%,0,2,-2
129,15,32,8,-17,46%,93,29%,0,6,-6
129,25,50,19,-25,58%,98,15%,1,5,-4
129,18,38,7,-20,57%,87,25%,0,5,-5
130,16,33,14,-17,76%,84,18%,1,5,-4
130,20,30,13,-10,62%,91,25%,3,9,-6
130,19,37,8,-18,65%,93,29%,2,3,-1
130,16,33,14,-17,76%,84,18%,1,5,-4
130,15,31,6,-16,50%,95,25%,1,1,0
130,8,16,7,-8,57%,103,26%,0,5,-5
130,17,25,8,-8,66%,94,25%,0,4,-4
130,8,9,7,-1,78%,90,27%,0,4,-4
130,11,28,6,-17,47%,94,19%,3,7,-4
130,23,48,22,-25,66%,90,23%,3,6,-3
131,16,28,8,-12,54%,91,25%,1,4,-3
131,17,21,11,-4,68%,79,18%,2,0,2
131,23,39,15,-16,57%,94,26%,1,6,-5
131,21,27,14,-6,66%,85,18%,3,2,1
132,26,27,12,-1,80%,96,35%,3,4,-1
132,13,18,9,-5,79%,90,19%,0,0,0
132,15,33,7,-18,53%,86,30%,1,3,-2
132,41,59,19,-18,66%,99,26%,3,9,-6
132,16,32,4,-16,55%,92,27%,0,8,-8
132,16,28,5,-12,56%,107,18%,2,4,-2
132,31,43,11,-12,69%,95,21%,2,8,-6
132,18,34,12,-16,65%,89,28%,1,4,-3
133,21,35,9,-14,61%,88,17%,1,5,-4
133,15,34,13,-19,58%,88,20%,1,2,-1
133,14,30,6,-16,51%,96,14%,2,3,-1
133,16,33,6,-17,57%,91,25%,3,1,2
133,28,54,22,-26,73%,96,13%,5,3,2
133,16,33,7,-17,50%,89,24%,3,6,-3
133,12,15,5,-3,63%,96,23%,1,3,-2
